metric,n_nan,pct_nan
synt_DEPREL_count_goeswith,599,99.83333333333333
synt_DEPREL_goeswith_prop,599,99.83333333333333
synt_DEPREL_goeswith_md,599,99.83333333333333
synt_DEPREL_list_prop,598,99.66666666666667
synt_DEPREL_count_dislocated,598,99.66666666666667
synt_DEPREL_count_list,598,99.66666666666667
synt_DEPREL_dislocated_md,598,99.66666666666667
synt_DEPREL_dislocated_prop,598,99.66666666666667
synt_DEPREL_list_md,598,99.66666666666667
synt_DEPREL_orphan_md,596,99.33333333333333
synt_DEPREL_count_orphan,596,99.33333333333333
synt_DEPREL_orphan_prop,596,99.33333333333333
synt_DEPREL_expl:impers_md,589,98.16666666666667
synt_DEPREL_count_expl:impers,589,98.16666666666667
synt_DEPREL_expl:impers_prop,589,98.16666666666667
synt_DEPREL_count_reparandum,577,96.16666666666667
synt_DEPREL_reparandum_md,577,96.16666666666667
synt_DEPREL_reparandum_prop,577,96.16666666666667
synt_DEPREL_det:predet_prop,571,95.16666666666667
synt_DEPREL_det:predet_md,571,95.16666666666667
synt_DEPREL_nmod:tmod_prop,571,95.16666666666667
synt_DEPREL_count_det:predet,571,95.16666666666667
synt_DEPREL_count_nmod:tmod,571,95.16666666666667
synt_DEPREL_nmod:tmod_md,571,95.16666666666667
synt_DEPREL_flat:foreign_prop,568,94.66666666666667
synt_DEPREL_flat:foreign_md,568,94.66666666666667
synt_DEPREL_count_flat:foreign,568,94.66666666666667
synt_DEPREL_vocative_md,567,94.5
synt_DEPREL_count_vocative,567,94.5
synt_DEPREL_vocative_prop,567,94.5
synt_DEPREL_obl:npmod_prop,565,94.16666666666667
synt_DEPREL_obl:npmod_md,565,94.16666666666667
synt_DEPREL_nsubj:outer_md,565,94.16666666666667
synt_DEPREL_count_obl:npmod,565,94.16666666666667
synt_DEPREL_nsubj:outer_prop,565,94.16666666666667
synt_DEPREL_count_nsubj:outer,565,94.16666666666667
synt_UPOS_INTJ_md,561,93.5
synt_UPOS_count_INTJ,561,93.5
synt_UPOS_INTJ_prop,561,93.5
synt_DEPREL_discourse_prop,554,92.33333333333333
synt_DEPREL_discourse_md,554,92.33333333333333
synt_DEPREL_count_discourse,554,92.33333333333333
synt_DEPREL_expl_prop,548,91.33333333333333
synt_DEPREL_expl_md,548,91.33333333333333
synt_DEPREL_count_expl,548,91.33333333333333
synt_DEPREL_nmod:npmod_md,543,90.5
synt_DEPREL_nmod:npmod_prop,543,90.5
