metric,n_valid,mean,std,variance,min,max,cv
synt_DEPREL_count_dislocated,2,1.0,0.0,0.0,1.0,1.0,0.0
synt_DEPREL_count_orphan,4,1.0,0.0,0.0,1.0,1.0,0.0
synt_DEPREL_expl:impers_md,11,1.0,0.0,0.0,1.0,1.0,0.0
synt_DEPREL_count_list,2,1.0,0.0,0.0,1.0,1.0,0.0
synt_DEPREL_dislocated_prop,2,0.00198220923014055,1.3891314057075405e-05,1.9296860623230071e-10,0.0019723865877712,0.0019920318725099,0.007007995849202272
synt_DEPREL_list_prop,2,0.0024846599256762502,3.055512838937121e-05,9.336158708909587e-10,0.0024630541871921,0.0025062656641604,0.012297509238031848
synt_DEPREL_orphan_prop,4,0.002044403969766425,8.481929521406004e-05,7.194312840609868e-09,0.0019841269841269,0.0021691973969631,0.041488520110705286
synt_DEPREL_expl:impers_prop,11,0.0020652816361086362,0.0005599740450448267,3.135709311238656e-07,0.0017921146953405,0.0037383177570093,0.2711368925450376
synt_DEPREL_csubj_prop,63,0.002257475808458695,0.0007660997129190587,5.869087701346641e-07,0.0017543859649122,0.0055555555555555,0.33936120601979686
synt_DEPREL_cc:preconj_prop,69,0.0024444975287354824,0.0008076529119858763,6.523032262392657e-07,0.0017825311942959,0.0042735042735042,0.33039628900900064
synt_DEPREL_obl:npmod_prop,35,0.0023614711301344566,0.000884445895123193,7.822445414002661e-07,0.0017667844522968,0.0058479532163742,0.374531741606697
synt_DEPREL_nsubj:outer_prop,35,0.0025647193116321797,0.0009821969802187673,9.647109079508656e-07,0.0017391304347826,0.0058365758754863,0.38296470719585296
synt_DEPREL_nmod:npmod_prop,57,0.0025613320738915196,0.0011951614845850027,1.4284109742354277e-06,0.0018214936247723,0.0062630480167014,0.46661715470932785
synt_DEPREL_vocative_prop,33,0.0029180096855711242,0.0016166996469435268,2.613717748427324e-06,0.001865671641791,0.0078895463510848,0.5540419056652651
synt_DEPREL_obl:tmod_prop,67,0.0031851045614859613,0.0017889058421652637,3.2001841121330115e-06,0.0017825311942959,0.0112994350282485,0.5616474459886106
synt_DEPREL_det:predet_prop,29,0.00333949677302011,0.0019203476921654558,3.6877352588051926e-06,0.0018691588785046,0.0099009900990099,0.5750410384223155
synt_DEPREL_iobj_prop,166,0.0032333085934531753,0.0022260369946142475,4.955240701391231e-06,0.0016977928692699,0.0159045725646123,0.6884703177177527
synt_DEPREL_discourse_prop,46,0.0034622142421305434,0.0024263507179344613,5.887177806421075e-06,0.0017761989342806,0.0119521912350597,0.7008089471786579
synt_UPOS_INTJ_prop,39,0.0035348673753370706,0.002566791800574814,6.588420147498096e-06,0.0018975332068311,0.0139442231075697,0.7261352486612189
synt_DEPREL_obl:agent_prop,304,0.004125319707605284,0.0027102302187502385,7.345347838626965e-06,0.0016611295681063,0.014,0.6569745888430805
synt_DEPREL_compound:prt_prop,123,0.003658168565354972,0.003083366206184015,9.507147161437606e-06,0.0017391304347826,0.0225988700564971,0.8428715492734051
synt_DEPREL_nmod:tmod_prop,29,0.004052018312670069,0.003402771628868116,1.1578854758229774e-05,0.0018382352941176,0.0173160173160173,0.8397720262586541
synt_DEPREL_expl_prop,52,0.003512798211459057,0.003778437805392147,1.4276592249216624e-05,0.0018621973929236,0.0259259259259259,1.0756205104712677
synt_DEPREL_reparandum_prop,23,0.00421863642288483,0.004384918375210039,1.9227509157254648e-05,0.0018248175182481,0.0204081632653061,1.0394160424499204
synt_DEPREL_advcl:relcl_prop,72,0.004344795103375524,0.0048978154481475,2.3988596164112293e-05,0.0018552875695732,0.0289017341040462,1.1272834119018242
synt_DEPREL_aux:pass_prop,473,0.0068193203985404205,0.005272662723127672,2.7800972191860122e-05,0.0017361111111111,0.0306513409961685,0.7731947488867382
synt_DEPREL_nsubj:pass_prop,446,0.006348667069650756,0.005387156205711529,2.9021451984736238e-05,0.0017543859649122,0.0404040404040404,0.8485491752220485
synt_DEPREL_acl_prop,515,0.009053331098456725,0.005881951391977158,3.4597352177582027e-05,0.0017301038062283,0.0423076923076923,0.649700240498199
synt_DEPREL_fixed_prop,460,0.008621201253209353,0.006405400651055439,4.102915750054145e-05,0.0017889087656529,0.0348583877995642,0.7429823829563132
synt_DEPREL_expl:pass_prop,89,0.004113155057639507,0.006970755707910675,4.8591435139369256e-05,0.0016977928692699,0.0646387832699619,1.6947466385843262
synt_DEPREL_obl:arg_prop,270,0.007961676735855731,0.007222270519728714,5.2161191460142476e-05,0.0017543859649122,0.0781893004115226,0.9071293346039696
synt_DEPREL_nummod_prop,290,0.006691809228549579,0.007326610856443986,5.367922664176288e-05,0.0016611295681063,0.0600375234521576,1.0948624813131436
synt_DEPREL_flat_prop,166,0.008002358725285421,0.008137371297141668,6.621681162754508e-05,0.0018214936247723,0.0451127819548872,1.0168715970492102
synt_DEPREL_advcl_prop,553,0.01650958332868624,0.00871652785668918,7.597785787643847e-05,0.0017301038062283,0.0469667318982387,0.5279677677596969
synt_DEPREL_flat:foreign_prop,32,0.007889039122493394,0.009167163127170764,8.403687980015926e-05,0.0017361111111111,0.0415019762845849,1.1620126335833671
synt_UPOS_PART_prop,295,0.01883623619418402,0.009304801497109178,8.65793309006052e-05,0.002053388090349,0.0747126436781609,0.4939841166348392
synt_DEPREL_ccomp_prop,472,0.009618715120181861,0.009442396701876176,8.915885547560209e-05,0.0017361111111111,0.0905077262693156,0.981669233769515
synt_DEPREL_parataxis_prop,349,0.00855743114496669,0.010733833556655437,0.0001152151828219823,0.0017301038062283,0.068762278978389,1.2543289422747927
synt_DEPREL_appos_prop,500,0.010800755127544744,0.01079221933015942,0.00011647199807026661,0.001763668430335,0.0906344410876132,0.99920970364715
synt_UPOS_SCONJ_prop,552,0.015306980499733286,0.011503698469140424,0.00013233507846890374,0.0017361111111111,0.0833333333333333,0.751532836233826
synt_DEPREL_xcomp_prop,573,0.014780731648115697,0.011674544218126713,0.00013629498270099587,0.0017361111111111,0.1376673040152963,0.7898488719003993
synt_DEPREL_cop_prop,562,0.01602860260102832,0.012908010486261173,0.0001666167347134284,0.0018083182640144,0.1053604436229205,0.8053110310085956
synt_DEPREL_nmod:poss_prop,276,0.020640649018369425,0.013036759462931648,0.00016995709729433786,0.0018248175182481,0.0654008438818565,0.6316060823150187
