text_id_gen,text_id_orig,author,title,sample_idx,rep,method,lang,euclidean_distance
brasil__s01__r00,brasil__s01,wikipedia_pt,brasil,1,0.0,baseline,pt,6.3399511470597165
brasil__s02__r02,brasil__s02,wikipedia_pt,brasil,2,2.0,baseline,pt,
brasil__s02__r01,brasil__s02,wikipedia_pt,brasil,2,1.0,baseline,pt,
brasil__s00__r02,brasil__s00,wikipedia_pt,brasil,0,2.0,baseline,pt,
brasil__s01__r02,brasil__s01,wikipedia_pt,brasil,1,2.0,baseline,pt,6.6951921835021935
brasil__s02__r00,brasil__s02,wikipedia_pt,brasil,2,0.0,baseline,pt,6.537867162033342
brasil__s00__r01,brasil__s00,wikipedia_pt,brasil,0,1.0,baseline,pt,
brasil__s01__r01,brasil__s01,wikipedia_pt,brasil,1,1.0,baseline,pt,6.6536180461101555
brasil__s00__r00,brasil__s00,wikipedia_pt,brasil,0,0.0,baseline,pt,7.384575837046423
happiness__s02__r00,happiness__s02,woolf,happiness,2,0.0,baseline,eng,
ancestors__s01__r00,ancestors__s01,woolf,ancestors,1,0.0,baseline,eng,6.421733993608715
ancestors__s02__r00,ancestors__s02,woolf,ancestors,2,0.0,baseline,eng,41.838677874254344
happiness__s00__r00,happiness__s00,woolf,happiness,0,0.0,baseline,eng,6.911314185641909
ancestors__s01__r02,ancestors__s01,woolf,ancestors,1,2.0,baseline,eng,6.954485399395807
happiness__s00__r02,happiness__s00,woolf,happiness,0,2.0,baseline,eng,5.327145977210681
ancestors__s01__r01,ancestors__s01,woolf,ancestors,1,1.0,baseline,eng,6.920430730015757
ancestors__s00__r01,ancestors__s00,woolf,ancestors,0,1.0,baseline,eng,8.86094033233492
happiness__s01__r00,happiness__s01,woolf,happiness,1,0.0,baseline,eng,26.752981029931952
happiness__s01__r02,happiness__s01,woolf,happiness,1,2.0,baseline,eng,27.909695148947947
ancestors__s00__r00,ancestors__s00,woolf,ancestors,0,0.0,baseline,eng,6.63544932248088
happiness__s01__r01,happiness__s01,woolf,happiness,1,1.0,baseline,eng,27.029601550715597
ancestors__s00__r02,ancestors__s00,woolf,ancestors,0,2.0,baseline,eng,5.949138455610098
happiness__s02__r01,happiness__s02,woolf,happiness,2,1.0,baseline,eng,11.962202312579725
ancestors__s02__r02,ancestors__s02,woolf,ancestors,2,2.0,baseline,eng,41.26641059586253
ancestors__s02__r01,ancestors__s02,woolf,ancestors,2,1.0,baseline,eng,41.810847133767695
happiness__s02__r02,happiness__s02,woolf,happiness,2,2.0,baseline,eng,11.860002091849228
happiness__s00__r01,happiness__s00,woolf,happiness,0,1.0,baseline,eng,5.707098351109379
brasilia__s00__r00,brasilia__s00,lispector,brasilia,0,0.0,baseline,pt,6.024276251589478
brasilia__s02__r02,brasilia__s02,lispector,brasilia,2,2.0,baseline,pt,6.837894135744252
brasilia__s00__r01,brasilia__s00,lispector,brasilia,0,1.0,baseline,pt,6.139793619240351
brasilia__s01__r00,brasilia__s01,lispector,brasilia,1,0.0,baseline,pt,6.652700713753438
brasilia__s02__r00,brasilia__s02,lispector,brasilia,2,0.0,baseline,pt,6.718872275356185
brasilia__s01__r02,brasilia__s01,lispector,brasilia,1,2.0,baseline,pt,4.265619861028479
brasilia__s01__r01,brasilia__s01,lispector,brasilia,1,1.0,baseline,pt,5.201661885520197
brasilia__s00__r02,brasilia__s00,lispector,brasilia,0,2.0,baseline,pt,6.263823411830784
brasilia__s02__r01,brasilia__s02,lispector,brasilia,2,1.0,baseline,pt,6.351207437871698
brasil__s01__r00,brasil__s01,wikipedia_pt,brasil,1,0.0,prompt_steering,pt,7.834832140592632
brasil__s02__r02,brasil__s02,wikipedia_pt,brasil,2,2.0,prompt_steering,pt,
brasil__s02__r01,brasil__s02,wikipedia_pt,brasil,2,1.0,prompt_steering,pt,
brasil__s00__r02,brasil__s00,wikipedia_pt,brasil,0,2.0,prompt_steering,pt,
brasil__s01__r02,brasil__s01,wikipedia_pt,brasil,1,2.0,prompt_steering,pt,
brasil__s02__r00,brasil__s02,wikipedia_pt,brasil,2,0.0,prompt_steering,pt,
brasil__s00__r01,brasil__s00,wikipedia_pt,brasil,0,1.0,prompt_steering,pt,
brasil__s01__r01,brasil__s01,wikipedia_pt,brasil,1,1.0,prompt_steering,pt,
brasil__s00__r00,brasil__s00,wikipedia_pt,brasil,0,0.0,prompt_steering,pt,
happiness__s02__r00,happiness__s02,woolf,happiness,2,0.0,prompt_steering,eng,
ancestors__s01__r00,ancestors__s01,woolf,ancestors,1,0.0,prompt_steering,eng,
ancestors__s02__r00,ancestors__s02,woolf,ancestors,2,0.0,prompt_steering,eng,42.733840100314374
happiness__s00__r00,happiness__s00,woolf,happiness,0,0.0,prompt_steering,eng,
ancestors__s01__r02,ancestors__s01,woolf,ancestors,1,2.0,prompt_steering,eng,6.895325381984138
happiness__s00__r02,happiness__s00,woolf,happiness,0,2.0,prompt_steering,eng,
ancestors__s01__r01,ancestors__s01,woolf,ancestors,1,1.0,prompt_steering,eng,
ancestors__s00__r01,ancestors__s00,woolf,ancestors,0,1.0,prompt_steering,eng,7.055850079469475
happiness__s01__r00,happiness__s01,woolf,happiness,1,0.0,prompt_steering,eng,
happiness__s01__r02,happiness__s01,woolf,happiness,1,2.0,prompt_steering,eng,
ancestors__s00__r00,ancestors__s00,woolf,ancestors,0,0.0,prompt_steering,eng,
happiness__s01__r01,happiness__s01,woolf,happiness,1,1.0,prompt_steering,eng,
ancestors__s00__r02,ancestors__s00,woolf,ancestors,0,2.0,prompt_steering,eng,
happiness__s02__r01,happiness__s02,woolf,happiness,2,1.0,prompt_steering,eng,
ancestors__s02__r02,ancestors__s02,woolf,ancestors,2,2.0,prompt_steering,eng,
ancestors__s02__r01,ancestors__s02,woolf,ancestors,2,1.0,prompt_steering,eng,
happiness__s02__r02,happiness__s02,woolf,happiness,2,2.0,prompt_steering,eng,
happiness__s00__r01,happiness__s00,woolf,happiness,0,1.0,prompt_steering,eng,
brasilia__s00__r00,brasilia__s00,lispector,brasilia,0,0.0,prompt_steering,pt,
brasilia__s02__r02,brasilia__s02,lispector,brasilia,2,2.0,prompt_steering,pt,
brasilia__s00__r01,brasilia__s00,lispector,brasilia,0,1.0,prompt_steering,pt,
brasilia__s01__r00,brasilia__s01,lispector,brasilia,1,0.0,prompt_steering,pt,
brasilia__s02__r00,brasilia__s02,lispector,brasilia,2,0.0,prompt_steering,pt,
brasilia__s01__r02,brasilia__s01,lispector,brasilia,1,2.0,prompt_steering,pt,
