metric,f_statistic,p_value,eta_squared,cv,significant,type
synt_UPOS_ADP_prop,121.44675154908772,1.7390776323913866e-24,0.8667745965777331,0.32663567826120343,Sim,Sintática
synt_DEPREL_root_prop,98.51142362045177,2.556727099167187e-22,0.8406983197888942,0.7842089479207385,Sim,Sintática
synt_UPOS_PRON_prop,79.39429507602108,3.678378163768278e-20,0.8096422232157174,0.7456170122830106,Sim,Sintática
synt_DEPREL_advmod_prop,74.72958337208613,1.4317519563538634e-19,0.8001347306886377,0.5240046684360135,Sim,Sintática
basic_chars_per_token_mean,65.1546161518789,2.9184797708238392e-18,0.7773039729411457,0.1205640433167664,Sim,Léxica
synt_DEPREL_nmod_prop,65.04937891981105,3.0224464357906526e-18,0.7770240276413417,0.579839046855489,Sim,Sintática
synt_DEPREL_nsubj_prop,55.27148073016232,9.60850579599024e-17,0.7475367273339711,0.45100291882471477,Sim,Sintática
synt_UPOS_VERB_prop,51.123197058068754,4.792786202182635e-16,0.7325304038378476,0.27255754530733245,Sim,Sintática
synt_DEPREL_case_prop,47.28076597611717,2.3162283430904526e-15,0.7169462719226993,0.24228392909988927,Sim,Sintática
synt_UPOS_total_words,46.872787118583766,2.752544735159614e-15,0.7151842807870997,0.022730086170516042,Sim,Sintática
synt_DEPREL_det_md,29.384312280350173,1.5201212851500458e-11,0.6115236967960761,0.22186505507352197,Sim,Sintática
synt_DEPREL_amod_prop,28.72213239718618,2.2324995349202986e-11,0.606095384660102,0.4797597064498909,Sim,Sintática
basic_tokens_per_sentence_mean,26.754796603284653,7.220140243566115e-11,0.5890342291324716,0.4098907134166792,Sim,Léxica
synt_DEPREL_cop_prop,21.608650207114945,2.0030307372731998e-09,0.536523406503146,0.4786825924286511,Sim,Sintática
synt_DEPREL_det_prop,21.591558036910133,2.026630468357321e-09,0.5363266312881353,0.22437842957715476,Sim,Sintática
synt_UPOS_PUNCT_md,14.925971819660685,2.949511868162915e-07,0.44432269962169674,0.37866455971955376,Sim,Sintática
synt_UPOS_AUX_prop,14.48120807216482,4.250323987170325e-07,0.43686686360017624,0.3180146306710442,Sim,Sintática
synt_DEPREL_obj_prop,13.35176402478359,1.0980967088451183e-06,0.41700244941576264,0.24955548766569657,Sim,Sintática
synt_mean_dependency_distance,13.03467933558484,1.441604659476688e-06,0.4111711639833552,0.35419244855687393,Sim,Sintática
