metric,cv,type
synt_DEPREL_root_prop,0.7842089479207385,Sintática
synt_DEPREL_appos_prop,0.7494307117792776,Sintática
synt_UPOS_PRON_prop,0.7456170122830106,Sintática
synt_DEPREL_nmod_prop,0.579839046855489,Sintática
synt_UPOS_VERB_md,0.579596860019722,Sintática
synt_DEPREL_advmod_prop,0.5240046684360135,Sintática
synt_UPOS_PROPN_prop,0.521114193932506,Sintática
synt_DEPREL_acl_md,0.5158462362575362,Sintática
synt_DEPREL_amod_prop,0.4797597064498909,Sintática
synt_DEPREL_cop_prop,0.4786825924286511,Sintática
synt_UPOS_ADJ_md,0.4693547812963045,Sintática
synt_DEPREL_nsubj_prop,0.45100291882471477,Sintática
synt_DEPREL_acl_prop,0.4415215756383605,Sintática
basic_tokens_per_sentence_mean,0.4098907134166792,Léxica
synt_UPOS_SCONJ_prop,0.4085756303203582,Sintática
synt_DEPREL_xcomp_md,0.3967460894673247,Sintática
synt_DEPREL_acl:relcl_md,0.39108032473819704,Sintática
synt_DEPREL_conj_md,0.3803786107948715,Sintática
synt_UPOS_PUNCT_md,0.37866455971955376,Sintática
synt_DEPREL_appos_md,0.37269392020515557,Sintática
synt_DEPREL_advcl_prop,0.3620229201028357,Sintática
synt_mean_dependency_distance,0.35419244855687393,Sintática
synt_UPOS_PROPN_md,0.34748363116058534,Sintática
synt_DEPREL_advcl_md,0.34658404855049085,Sintática
synt_DEPREL_obl_md,0.3357303154126431,Sintática
synt_UPOS_ADP_prop,0.32663567826120343,Sintática
synt_UPOS_ADV_md,0.31869062841692625,Sintática
synt_UPOS_AUX_prop,0.3180146306710442,Sintática
synt_DEPREL_root_md,0.3140992893130854,Sintática
synt_DEPREL_cc_md,0.30613113114665497,Sintática
synt_UPOS_SCONJ_md,0.2984605504861945,Sintática
basic_n_repeated_trigrams,0.29646102752557846,Léxica
synt_DEPREL_nsubj_md,0.2943057664246773,Sintática
synt_UPOS_NOUN_md,0.29356207560503217,Sintática
synt_DEPREL_advmod_md,0.2762449746563704,Sintática
synt_DEPREL_obj_md,0.2741028833876102,Sintática
synt_DEPREL_nmod_md,0.2735703170038408,Sintática
synt_UPOS_VERB_prop,0.27255754530733245,Sintática
synt_DEPREL_obj_prop,0.24955548766569657,Sintática
synt_DEPREL_case_prop,0.24228392909988927,Sintática
synt_DEPREL_mark_prop,0.23235020720772118,Sintática
synt_DEPREL_mark_md,0.22655348927590666,Sintática
synt_DEPREL_det_prop,0.22437842957715476,Sintática
synt_DEPREL_det_md,0.22186505507352197,Sintática
synt_UPOS_DET_md,0.22105839815570252,Sintática
synt_UPOS_NOUN_prop,0.18779108785097856,Sintática
synt_DEPREL_xcomp_prop,0.17699450177780018,Sintática
synt_DEPREL_cop_md,0.1754231144455776,Sintática
synt_DEPREL_case_md,0.1736967690108822,Sintática
synt_UPOS_PRON_md,0.16686182938411456,Sintática
synt_DEPREL_amod_md,0.16326718901752604,Sintática
synt_UPOS_ADP_md,0.14941755884615426,Sintática
synt_DEPREL_conj_prop,0.13109619328827124,Sintática
synt_DEPREL_obl_prop,0.12519361450096125,Sintática
basic_chars_per_token_mean,0.1205640433167664,Léxica
synt_DEPREL_acl:relcl_prop,0.11732130050716862,Sintática
basic_n_repeated_bigrams,0.10206644750178369,Léxica
synt_UPOS_AUX_md,0.0934895941223883,Sintática
synt_DEPREL_cc_prop,0.09090619030238037,Sintática
synt_DEPREL_punct_prop,0.07155972142392687,Sintática
basic_ttr,0.05143516281676694,Léxica
basic_n_unique_unigrams,0.049863708367019983,Léxica
synt_UPOS_total_words,0.022730086170516042,Sintática
basic_n_unique_bigrams,0.015192556719960799,Léxica
basic_n_unique_trigrams,0.00961002008808925,Léxica
