text_id,author,title,sample_idx,rep,condition,lang,basic_ttr,basic_tokens_per_sentence_mean,basic_chars_per_token_mean,basic_n_unique_unigrams,basic_n_unique_bigrams,basic_n_repeated_bigrams,basic_n_unique_trigrams,basic_n_repeated_trigrams,synt_mean_dependency_distance,synt_DEPREL_det_prop,synt_DEPREL_det_md,synt_DEPREL_root_prop,synt_DEPREL_root_md,synt_DEPREL_cc_prop,synt_DEPREL_cc_md,synt_DEPREL_conj_prop,synt_DEPREL_conj_md,synt_DEPREL_case_prop,synt_DEPREL_case_md,synt_DEPREL_nmod_prop,synt_DEPREL_nmod_md,synt_DEPREL_punct_prop,synt_DEPREL_obj_prop,synt_DEPREL_obj_md,synt_DEPREL_amod_prop,synt_DEPREL_amod_md,synt_DEPREL_appos_prop,synt_DEPREL_appos_md,synt_DEPREL_nsubj_prop,synt_DEPREL_nsubj_md,synt_DEPREL_mark_prop,synt_DEPREL_mark_md,synt_DEPREL_acl_prop,synt_DEPREL_acl_md,synt_DEPREL_advmod_prop,synt_DEPREL_advmod_md,synt_DEPREL_obl_prop,synt_DEPREL_obl_md,synt_DEPREL_advcl_prop,synt_DEPREL_advcl_md,synt_DEPREL_cop_prop,synt_DEPREL_cop_md,synt_DEPREL_xcomp_prop,synt_DEPREL_xcomp_md,synt_DEPREL_acl:relcl_prop,synt_DEPREL_acl:relcl_md,synt_UPOS_DET_md,synt_UPOS_NOUN_prop,synt_UPOS_NOUN_md,synt_UPOS_ADP_prop,synt_UPOS_ADP_md,synt_UPOS_PUNCT_md,synt_UPOS_VERB_prop,synt_UPOS_VERB_md,synt_UPOS_ADJ_md,synt_UPOS_ADV_md,synt_UPOS_PROPN_prop,synt_UPOS_PROPN_md,synt_UPOS_AUX_prop,synt_UPOS_AUX_md,synt_UPOS_PRON_prop,synt_UPOS_PRON_md,synt_UPOS_SCONJ_prop,synt_UPOS_SCONJ_md,synt_UPOS_total_words
história-da-inteligência-artificial__s01__r02,wikipedia_pt,história-da-inteligência-artificial,1,2.0,activation_steering,pt,0.5179704016913319,29.5625,5.71948051948052,221,419,86,464,12,3.496828752642706,0.1104294478527607,1.2037037037037035,0.032719836400818,11.75,0.0224948875255623,3.727272727272727,0.0204498977505112,5.3,0.16359918200409,1.4625,0.1145194274028629,2.9642857142857144,0.1492842535787321,0.0388548057259713,1.5789473684210529,0.0633946830265848,1.096774193548387,0.0040899795501022,7.5,0.0470347648261758,4.695652173913044,0.0245398773006134,3.083333333333333,0.0143149284253578,2.571428571428572,0.0245398773006134,2.333333333333333,0.0408997955010225,4.95,0.0184049079754601,8.333333333333334,0.0061349693251533,2.6666666666666665,0.0224948875255623,2.0,0.0102249488752556,7.6,1.2,0.2085889570552147,3.764705882352941,0.1779141104294478,1.7241379310344829,5.92,0.0981595092024539,6.979166666666667,1.125,2.333333333333333,0.0552147239263803,3.4814814814814814,0.0184049079754601,1.6666666666666667,0.016359918200409,1.375,0.016359918200409,3.875,489
história-da-inteligência-artificial__s01__r01,wikipedia_pt,história-da-inteligência-artificial,1,1.0,activation_steering,pt,0.5265392781316348,27.705882352941178,5.490147783251231,218,419,86,461,15,3.349036402569593,0.1115702479338843,1.0555555555555556,0.0351239669421487,9.647058823529411,0.0206611570247933,2.2,0.0206611570247933,5.1,0.1590909090909091,1.3766233766233766,0.0847107438016528,2.292682926829268,0.1177685950413223,0.0330578512396694,1.75,0.0619834710743801,1.1333333333333333,0.0020661157024793,7.0,0.0578512396694214,3.5357142857142856,0.0454545454545454,2.636363636363636,0.0206611570247933,3.1,0.0206611570247933,2.7,0.0495867768595041,6.0,0.0227272727272727,7.363636363636363,0.006198347107438,1.0,0.024793388429752,2.083333333333333,0.012396694214876,3.333333333333333,1.0545454545454545,0.2107438016528925,3.343137254901961,0.1859504132231405,1.4555555555555555,7.333333333333333,0.1177685950413223,5.701754385964913,1.6285714285714286,2.7,0.0599173553719008,2.5172413793103448,0.018595041322314,1.0,0.0227272727272727,1.4545454545454546,0.0227272727272727,3.727272727272727,484
inteligência-artificial__s02__r00,wikipedia_pt,inteligência-artificial,2,0.0,activation_steering,pt,0.5193965517241379,33.142857142857146,5.434146341463415,215,408,86,445,31,3.3811563169164884,0.1081081081081081,1.0384615384615383,0.0291060291060291,12.428571428571429,0.0228690228690228,2.0,0.0291060291060291,5.857142857142857,0.20997920997921,1.386138613861386,0.133056133056133,2.65625,0.0997920997920998,0.0332640332640332,1.5,0.0748440748440748,1.1111111111111112,0.002079002079002,4.0,0.0478170478170478,5.391304347826087,0.0228690228690228,3.4545454545454546,0.0166320166320166,3.875,0.0124740124740124,4.0,0.0415800415800415,5.65,0.0103950103950103,6.4,,,0.0166320166320166,2.375,0.0103950103950103,3.8,1.0377358490566038,0.2681912681912682,3.8449612403100777,0.2307692307692307,1.4414414414414414,7.958333333333333,0.0935550935550935,6.733333333333333,1.108108108108108,4.0,0.0353430353430353,2.411764705882353,0.0041580041580041,1.0,0.0249480249480249,1.0833333333333333,0.0103950103950103,5.4,481
inteligência-artificial__s00__r01,wikipedia_pt,inteligência-artificial,0,1.0,activation_steering,pt,0.578125,29.866666666666667,5.851239669421488,239,417,48,444,4,3.630232558139535,0.0733333333333333,1.0,0.0444444444444444,11.5,0.0422222222222222,1.7894736842105263,0.0577777777777777,5.153846153846154,0.1533333333333333,1.289855072463768,0.1222222222222222,2.6545454545454548,0.14,0.0511111111111111,1.434782608695652,0.0866666666666666,1.1282051282051282,0.0111111111111111,4.2,0.0466666666666666,8.666666666666666,0.0066666666666666,1.6666666666666667,0.0177777777777777,1.875,0.0222222222222222,2.9,0.0311111111111111,7.714285714285714,0.0066666666666666,6.666666666666667,0.0022222222222222,2.0,0.0133333333333333,1.1666666666666667,0.0066666666666666,5.666666666666667,1.0588235294117647,0.26,4.188034188034188,0.1711111111111111,1.6363636363636365,5.285714285714286,0.0866666666666666,8.0,1.162790697674419,2.6923076923076925,0.0511111111111111,4.217391304347826,0.0088888888888888,1.75,0.0155555555555555,1.5714285714285714,0.0022222222222222,3.0,450
aprendizado-por-reforço__s01__r01,wikipedia_pt,aprendizado-por-reforço,1,1.0,activation_steering,pt,0.4681274900398406,35.857142857142854,5.214899713467049,204,411,142,467,52,3.674418604651162,0.1040816326530612,1.0784313725490196,0.0346938775510204,10.176470588235292,0.0265306122448979,3.0,0.0408163265306122,9.4,0.1306122448979592,1.4375,0.1224489795918367,2.716666666666667,0.1857142857142857,0.036734693877551,1.7222222222222223,0.0551020408163265,1.1111111111111112,0.0204081632653061,3.8,0.0387755102040816,4.315789473684211,0.0224489795918367,2.5454545454545454,0.0183673469387755,2.888888888888889,0.0224489795918367,1.2727272727272727,0.0346938775510204,5.647058823529412,0.0183673469387755,10.88888888888889,0.0081632653061224,1.75,0.0061224489795918,2.333333333333333,0.0081632653061224,10.25,1.0769230769230769,0.246938775510204,3.884297520661157,0.1510204081632653,1.648648648648649,5.391752577319588,0.0775510204081632,7.894736842105263,1.793103448275862,1.6923076923076923,0.046938775510204,3.8260869565217392,0.0122448979591836,1.5,0.0142857142857142,3.2857142857142856,0.0081632653061224,5.0,490
universidade-federal-de-minas-gerais__s00__r02,wikipedia_pt,universidade-federal-de-minas-gerais,0,2.0,activation_steering,pt,0.4429133858267716,29.88235294117647,5.043181818181818,193,414,147,471,61,3.4294003868471954,0.1570093457943925,1.2142857142857142,0.0336448598130841,8.0,0.0411214953271028,1.681818181818182,0.0467289719626168,4.88,0.1457943925233644,1.807692307692308,0.0710280373831775,2.921052631578948,0.1009345794392523,0.0317757009345794,2.4705882352941178,0.0504672897196261,1.037037037037037,0.0037383177570093,12.5,0.0411214953271028,2.5,0.016822429906542,1.6666666666666667,0.0093457943925233,2.2,0.0205607476635514,2.090909090909091,0.0411214953271028,4.954545454545454,0.011214953271028,9.333333333333334,0.0074766355140186,2.0,0.0130841121495327,2.857142857142857,0.0149532710280373,6.875,1.3103448275862069,0.1850467289719626,3.7373737373737375,0.1906542056074766,1.7254901960784317,8.944444444444445,0.0766355140186915,6.146341463414634,1.53125,2.3076923076923075,0.0822429906542056,3.5,0.016822429906542,1.4444444444444444,0.0336448598130841,2.388888888888889,0.0018691588785046,5.0,535
inteligência-artificial__s02__r02,wikipedia_pt,inteligência-artificial,2,2.0,activation_steering,pt,0.5399159663865546,29.75,5.647058823529412,231,434,71,468,11,3.596707818930041,0.1274900398406374,1.046875,0.0318725099601593,12.1875,0.0318725099601593,1.8125,0.0398406374501992,5.6,0.1752988047808765,1.5,0.1115537848605577,2.875,0.1254980079681275,0.0338645418326693,1.7647058823529411,0.0637450199203187,1.09375,0.0079681274900398,2.75,0.049800796812749,5.96,0.0239043824701195,3.75,0.0159362549800796,2.25,0.0119521912350597,4.666666666666667,0.0398406374501992,6.8,0.0139442231075697,9.0,0.0079681274900398,1.5,0.0159362549800796,2.25,0.0119521912350597,4.0,1.0746268656716418,0.247011952191235,4.298387096774194,0.197211155378486,1.4848484848484849,6.698412698412699,0.0856573705179282,7.116279069767442,1.7297297297297298,4.666666666666667,0.0398406374501992,3.15,0.0139442231075697,1.2857142857142858,0.0199203187250996,2.8,0.0099601593625498,7.4,502
universidade-federal-de-minas-gerais__s00__r01,wikipedia_pt,universidade-federal-de-minas-gerais,0,1.0,activation_steering,pt,0.5379464285714286,34.46153846153846,5.393139841688655,198,395,90,435,21,3.3934065934065933,0.1196581196581196,1.0535714285714286,0.0277777777777777,6.076923076923077,0.0363247863247863,1.4705882352941178,0.0512820512820512,6.041666666666667,0.1581196581196581,1.4324324324324325,0.094017094017094,2.7045454545454546,0.1217948717948717,0.047008547008547,1.681818181818182,0.0641025641025641,1.0666666666666669,0.0064102564102564,6.333333333333333,0.0427350427350427,2.4,0.0106837606837606,1.8,0.0085470085470085,8.75,0.0085470085470085,2.75,0.0405982905982906,5.2105263157894735,0.017094017094017,10.5,0.0021367521367521,1.0,0.0106837606837606,2.4,0.0149572649572649,6.285714285714286,1.0535714285714286,0.173076923076923,3.2098765432098766,0.1901709401709401,1.5056179775280898,8.052631578947368,0.0747863247863247,7.857142857142857,1.2777777777777777,2.75,0.1303418803418803,3.2131147540983607,0.0042735042735042,1.0,0.0363247863247863,2.411764705882353,0.0042735042735042,3.0,468
brasil__s01__r00,wikipedia_pt,brasil,1,0.0,activation_steering,pt,0.533195020746888,32.13333333333333,5.12,236,444,64,478,4,3.67,0.1514563106796116,1.0384615384615383,0.029126213592233,11.2,0.029126213592233,2.333333333333333,0.033009708737864,6.882352941176471,0.1398058252427184,1.6388888888888888,0.0854368932038835,2.75,0.1300970873786407,0.0446601941747572,2.0,0.062135922330097,1.0625,0.0097087378640776,3.6,0.058252427184466,5.133333333333334,0.0155339805825242,3.375,0.0077669902912621,3.5,0.029126213592233,2.466666666666667,0.033009708737864,6.941176470588236,0.0116504854368932,6.666666666666667,0.0058252427184466,1.6666666666666667,0.0097087378640776,5.2,0.0233009708737864,5.833333333333333,1.0740740740740742,0.2135922330097087,4.372727272727273,0.1631067961165048,1.619047619047619,7.402985074626866,0.0834951456310679,7.348837209302325,1.1764705882352942,2.5625,0.058252427184466,3.7,0.0116504854368932,1.8333333333333333,0.029126213592233,2.333333333333333,0.0116504854368932,3.8333333333333335,515
universidade-federal-de-minas-gerais__s02__r00,wikipedia_pt,universidade-federal-de-minas-gerais,2,0.0,activation_steering,pt,0.5575757575757576,33.0,5.52122641509434,237,444,81,483,19,3.4478527607361964,0.0892857142857142,1.0666666666666669,0.0297619047619047,9.2,0.0357142857142857,1.3333333333333333,0.0535714285714285,6.518518518518518,0.1369047619047619,1.2753623188405796,0.1011904761904761,2.6862745098039214,0.115079365079365,0.0476190476190476,1.5833333333333333,0.0853174603174603,1.069767441860465,0.0138888888888888,6.571428571428571,0.0515873015873015,3.576923076923077,0.0059523809523809,2.333333333333333,0.0059523809523809,1.3333333333333333,0.0138888888888888,1.5714285714285714,0.0277777777777777,5.928571428571429,0.0099206349206349,8.0,0.0039682539682539,2.5,0.0019841269841269,1.0,0.0238095238095238,5.916666666666667,1.127659574468085,0.2242063492063492,3.5132743362831858,0.1686507936507936,1.411764705882353,7.620689655172414,0.0714285714285714,6.777777777777778,1.0909090909090908,2.090909090909091,0.121031746031746,4.590163934426229,0.0099206349206349,1.6,0.0238095238095238,1.25,0.0019841269841269,3.0,504
história-da-inteligência-artificial__s00__r01,wikipedia_pt,história-da-inteligência-artificial,0,1.0,activation_steering,pt,0.5514223194748359,30.466666666666665,5.789340101522843,223,416,70,447,16,3.3777292576419216,0.1242105263157894,1.0847457627118644,0.0357894736842105,8.411764705882353,0.0147368421052631,1.2857142857142858,0.0189473684210526,4.111111111111111,0.1473684210526315,1.457142857142857,0.0863157894736842,2.609756097560976,0.1157894736842105,0.0631578947368421,1.6333333333333333,0.08,1.1578947368421053,0.0042105263157894,3.0,0.0568421052631578,3.7777777777777777,0.0294736842105263,2.7142857142857144,0.0168421052631578,1.875,0.0147368421052631,4.285714285714286,0.0357894736842105,6.235294117647059,0.0273684210526315,7.3076923076923075,0.0021052631578947,1.0,0.0231578947368421,2.272727272727273,0.0168421052631578,5.875,1.0833333333333333,0.2231578947368421,3.009433962264151,0.1705263157894737,1.4444444444444444,8.072727272727272,0.111578947368421,6.113207547169812,1.175,4.5,0.0652631578947368,2.903225806451613,0.0126315789473684,1.1666666666666667,0.0294736842105263,2.0,0.0126315789473684,4.833333333333333,475
aprendizado-por-reforço__s01__r02,wikipedia_pt,aprendizado-por-reforço,1,2.0,activation_steering,pt,0.5151515151515151,33.0,5.544117647058823,181,348,78,378,28,3.441860465116279,0.1147132169576059,1.0217391304347827,0.0349127182044887,10.785714285714286,0.0299251870324189,1.4166666666666667,0.0349127182044887,5.214285714285714,0.1446384039900249,1.5,0.0997506234413965,2.65,0.1246882793017456,0.0473815461346633,1.6842105263157894,0.0723192019950124,1.2413793103448276,0.0099750623441396,3.75,0.0399002493765586,4.375,0.027431421446384,1.818181818181818,0.0199501246882793,3.125,0.0374064837905236,1.2,0.0349127182044887,7.428571428571429,0.0224438902743142,8.0,0.0074812967581047,1.6666666666666667,0.0174563591022443,2.142857142857143,0.0124688279301745,5.0,1.0217391304347827,0.2394014962593516,4.0625,0.169576059850374,1.4705882352941178,6.705882352941177,0.1047381546134663,6.738095238095238,1.7333333333333334,1.2,0.054862842892768,1.9545454545454544,0.0124688279301745,1.4,0.0199501246882793,1.875,0.0099750623441396,3.25,401
