text_id,author,title,sample_idx,rep,condition,lang,basic_ttr,basic_tokens_per_sentence_mean,basic_chars_per_token_mean,basic_n_unique_unigrams,basic_n_unique_bigrams,basic_n_repeated_bigrams,basic_n_unique_trigrams,basic_n_repeated_trigrams,synt_mean_dependency_distance,synt_DEPREL_det_prop,synt_DEPREL_det_md,synt_DEPREL_root_prop,synt_DEPREL_root_md,synt_DEPREL_cc_prop,synt_DEPREL_cc_md,synt_DEPREL_conj_prop,synt_DEPREL_conj_md,synt_DEPREL_case_prop,synt_DEPREL_case_md,synt_DEPREL_nmod_prop,synt_DEPREL_nmod_md,synt_DEPREL_punct_prop,synt_DEPREL_obj_prop,synt_DEPREL_obj_md,synt_DEPREL_amod_prop,synt_DEPREL_amod_md,synt_DEPREL_appos_prop,synt_DEPREL_appos_md,synt_DEPREL_nsubj_prop,synt_DEPREL_nsubj_md,synt_DEPREL_mark_prop,synt_DEPREL_mark_md,synt_DEPREL_acl_prop,synt_DEPREL_acl_md,synt_DEPREL_advmod_prop,synt_DEPREL_advmod_md,synt_DEPREL_obl_prop,synt_DEPREL_obl_md,synt_DEPREL_advcl_prop,synt_DEPREL_advcl_md,synt_DEPREL_cop_prop,synt_DEPREL_cop_md,synt_DEPREL_xcomp_prop,synt_DEPREL_xcomp_md,synt_DEPREL_acl:relcl_prop,synt_DEPREL_acl:relcl_md,synt_UPOS_DET_md,synt_UPOS_NOUN_prop,synt_UPOS_NOUN_md,synt_UPOS_ADP_prop,synt_UPOS_ADP_md,synt_UPOS_PUNCT_md,synt_UPOS_VERB_prop,synt_UPOS_VERB_md,synt_UPOS_ADJ_md,synt_UPOS_ADV_md,synt_UPOS_PROPN_prop,synt_UPOS_PROPN_md,synt_UPOS_AUX_prop,synt_UPOS_AUX_md,synt_UPOS_PRON_prop,synt_UPOS_PRON_md,synt_UPOS_SCONJ_prop,synt_UPOS_SCONJ_md,synt_UPOS_total_words
história-da-inteligência-artificial__s01__r02,wikipedia_pt,história-da-inteligência-artificial,1,2.0,baseline,pt,0.5093945720250522,34.214285714285715,5.701117318435754,224,403,107,457,32,3.771008403361345,0.1204081632653061,1.0338983050847457,0.0285714285714285,12.214285714285714,0.0163265306122449,2.0,0.0183673469387755,4.888888888888889,0.1428571428571428,1.4428571428571428,0.1061224489795918,3.3846153846153846,0.173469387755102,0.0428571428571428,1.619047619047619,0.0571428571428571,1.1428571428571428,0.0061224489795918,5.0,0.0428571428571428,7.0,0.0285714285714285,6.285714285714286,0.0224489795918367,2.1818181818181817,0.0142857142857142,4.142857142857143,0.0448979591836734,5.454545454545454,0.0224489795918367,7.545454545454546,0.0020408163265306,2.0,0.0204081632653061,2.3,0.0020408163265306,2.0,1.0338983050847457,0.1959183673469387,4.114583333333333,0.1530612244897959,1.44,5.408602150537634,0.1020408163265306,7.3,1.3870967741935485,4.0,0.0775510204081632,3.263157894736842,0.0061224489795918,1.3333333333333333,0.0081632653061224,1.25,0.0183673469387755,8.777777777777779,490
história-da-inteligência-artificial__s01__r01,wikipedia_pt,história-da-inteligência-artificial,1,1.0,baseline,pt,0.5702127659574469,31.33333333333333,5.62406015037594,240,429,70,457,20,3.6779661016949152,0.1252566735112936,1.1147540983606556,0.0308008213552361,13.533333333333331,0.0205338809034907,2.4,0.0205338809034907,4.6,0.1581108829568788,1.4155844155844155,0.1006160164271047,2.673469387755102,0.1252566735112936,0.0513347022587269,1.68,0.0636550308008213,1.1290322580645162,0.0061601642710472,3.6666666666666665,0.0595482546201232,6.586206896551724,0.0225872689938398,4.0,0.028747433264887,4.571428571428571,0.0246406570841889,6.083333333333333,0.0369609856262833,5.611111111111111,0.0061601642710472,10.666666666666666,0.002053388090349,1.0,0.0164271047227926,1.5,0.0164271047227926,4.25,1.1451612903225807,0.2197125256673511,4.158878504672897,0.1724845995893223,1.369047619047619,6.672131147540983,0.1026694045174538,7.48,1.15625,5.666666666666667,0.0800821355236139,2.2051282051282053,0.0041067761806981,1.0,0.0246406570841889,2.5,0.0123203285420944,6.5,487
inteligência-artificial__s02__r00,wikipedia_pt,inteligência-artificial,2,0.0,baseline,pt,0.59375,29.714285714285715,5.77158774373259,222,386,50,410,8,3.411483253588517,0.1388888888888889,1.0166666666666666,0.0324074074074074,10.357142857142858,0.0231481481481481,1.5,0.0277777777777777,4.833333333333333,0.1412037037037037,1.3770491803278688,0.0879629629629629,2.3684210526315788,0.1157407407407407,0.0625,1.7777777777777777,0.0763888888888889,1.3636363636363635,0.0046296296296296,3.5,0.0462962962962962,3.8,0.0300925925925925,2.4615384615384617,0.0254629629629629,3.363636363636364,0.0254629629629629,2.8181818181818183,0.0439814814814814,7.0,0.0231481481481481,8.1,0.0023148148148148,2.0,0.0138888888888888,2.1666666666666665,0.0069444444444444,6.0,1.0166666666666666,0.2314814814814814,3.43,0.1597222222222222,1.391304347826087,7.72,0.1064814814814814,6.804347826086956,1.3529411764705883,2.8181818181818183,0.0625,1.8888888888888888,0.0092592592592592,1.5,0.011574074074074,1.6,0.0138888888888888,3.6666666666666665,432
inteligência-artificial__s00__r01,wikipedia_pt,inteligência-artificial,0,1.0,baseline,pt,0.5735930735930735,35.53846153846154,5.941988950276243,244,421,67,454,11,3.620842572062084,0.0646551724137931,1.0,0.0280172413793103,13.23076923076923,0.0387931034482758,1.5,0.0495689655172413,5.608695652173913,0.1293103448275862,1.2833333333333334,0.0926724137931034,2.6511627906976742,0.1724137931034483,0.0452586206896551,1.2857142857142858,0.0775862068965517,1.2222222222222223,0.0366379310344827,3.823529411764706,0.0452586206896551,6.190476190476191,0.0193965517241379,5.0,0.0150862068965517,2.2857142857142856,0.021551724137931,1.2,0.0366379310344827,5.647058823529412,0.0150862068965517,10.571428571428571,0.0043103448275862,1.5,0.0086206896551724,3.5,0.0150862068965517,4.714285714285714,1.0,0.230603448275862,4.149532710280374,0.1530172413793103,1.380281690140845,5.225,0.0862068965517241,8.125,1.9268292682926829,1.3636363636363635,0.084051724137931,2.9743589743589745,0.0150862068965517,1.2857142857142858,0.0150862068965517,1.2857142857142858,0.0086206896551724,10.0,464
aprendizado-por-reforço__s01__r01,wikipedia_pt,aprendizado-por-reforço,1,1.0,baseline,pt,0.4359504132231405,34.57142857142857,5.161458333333333,183,390,140,451,55,3.5925155925155927,0.1313131313131313,1.0461538461538462,0.0282828282828282,10.142857142857142,0.0222222222222222,2.363636363636364,0.0303030303030303,7.8,0.1333333333333333,1.7121212121212122,0.0747474747474747,2.3513513513513518,0.1858585858585858,0.0484848484848484,1.875,0.0525252525252525,1.0384615384615383,0.0141414141414141,6.0,0.0444444444444444,2.772727272727273,0.0262626262626262,2.4615384615384617,0.0282828282828282,2.0,0.0161616161616161,4.0,0.0525252525252525,6.269230769230769,0.0222222222222222,8.363636363636363,0.004040404040404,1.5,0.006060606060606,1.0,0.008080808080808,5.25,1.0461538461538462,0.2282828282828282,3.2389380530973453,0.1636363636363636,1.8148148148148149,6.042553191489362,0.103030303030303,6.647058823529412,1.5517241379310345,4.0,0.0161616161616161,3.625,0.008080808080808,1.25,0.0181818181818181,4.555555555555555,0.0141414141414141,2.0,495
universidade-federal-de-minas-gerais__s00__r02,wikipedia_pt,universidade-federal-de-minas-gerais,0,2.0,baseline,pt,0.5306122448979592,32.666666666666664,5.620283018867925,222,431,93,480,15,3.432865731462926,0.1070038910505836,1.0363636363636364,0.0291828793774319,7.333333333333333,0.0408560311284046,1.238095238095238,0.056420233463035,4.344827586206897,0.1809338521400778,1.4408602150537635,0.1089494163424124,2.8392857142857144,0.1089494163424124,0.0350194552529182,1.6666666666666667,0.0719844357976653,1.027027027027027,0.0077821011673151,8.75,0.0428015564202334,2.5454545454545454,0.0038910505836575,5.5,0.0194552529182879,2.0,0.0077821011673151,6.75,0.0408560311284046,4.857142857142857,0.0136186770428015,15.285714285714286,0.0019455252918287,1.0,0.0038910505836575,3.0,0.0116731517509727,9.5,1.103448275862069,0.2198443579766537,3.221238938053097,0.1984435797665369,1.46078431372549,8.696428571428571,0.0778210116731517,7.35,1.4186046511627908,6.75,0.0914396887159533,3.191489361702128,0.0058365758754863,1.0,0.0311284046692607,2.1875,0.0038910505836575,5.5,514
inteligência-artificial__s02__r02,wikipedia_pt,inteligência-artificial,2,2.0,baseline,pt,0.5628997867803838,29.3125,5.875912408759124,238,432,63,462,10,3.6359743040685215,0.1118012422360248,1.0740740740740742,0.0331262939958592,12.1875,0.0351966873706004,1.4705882352941178,0.0455486542443064,4.454545454545454,0.144927536231884,1.4142857142857144,0.0890269151138716,2.5348837209302326,0.1159420289855072,0.0393374741200828,1.631578947368421,0.0848861283643892,1.1219512195121952,0.0041407867494824,3.5,0.0538302277432712,6.423076923076923,0.0393374741200828,3.684210526315789,0.0269151138716356,2.6923076923076925,0.031055900621118,2.8,0.0393374741200828,6.105263157894737,0.0165631469979296,11.375,0.0082815734989648,2.0,0.0227743271221532,3.272727272727273,0.010351966873706,4.4,1.0740740740740742,0.2525879917184265,4.032786885245901,0.1718426501035196,1.4578313253012047,7.071428571428571,0.113871635610766,6.9818181818181815,1.6,2.9411764705882355,0.010351966873706,3.2,0.0144927536231884,1.5714285714285714,0.0144927536231884,1.4285714285714286,0.0165631469979296,6.5,483
universidade-federal-de-minas-gerais__s00__r01,wikipedia_pt,universidade-federal-de-minas-gerais,0,1.0,baseline,pt,0.5085106382978724,29.375,5.3325,209,407,95,458,16,3.400835073068893,0.1393939393939394,1.0869565217391304,0.0323232323232323,8.9375,0.0383838383838383,1.5263157894736843,0.0484848484848484,5.75,0.1494949494949495,1.5810810810810811,0.0909090909090909,3.0444444444444443,0.1151515151515151,0.0404040404040404,1.75,0.0848484848484848,1.261904761904762,0.008080808080808,8.0,0.0323232323232323,4.1875,0.008080808080808,1.5,0.006060606060606,2.0,0.008080808080808,3.0,0.0323232323232323,6.4375,0.0141414141414141,6.285714285714286,,,0.006060606060606,3.333333333333333,0.008080808080808,8.0,1.1690140845070425,0.1898989898989899,3.734042553191489,0.1939393939393939,1.5625,7.719298245614035,0.0666666666666666,7.818181818181818,1.3695652173913044,2.555555555555556,0.105050505050505,3.5961538461538463,0.008080808080808,1.25,0.0141414141414141,1.8571428571428568,,,495
brasil__s01__r00,wikipedia_pt,brasil,1,0.0,baseline,pt,0.5735607675906184,39.083333333333336,5.78590785907859,241,425,65,457,16,3.627329192546584,0.1434343434343434,1.1690140845070425,0.0242424242424242,14.916666666666666,0.0323232323232323,1.75,0.0464646464646464,5.478260869565218,0.1373737373737373,1.6323529411764706,0.0787878787878787,2.4871794871794872,0.1696969696969697,0.0404040404040404,1.95,0.0909090909090909,1.0444444444444445,0.0161616161616161,4.875,0.0424242424242424,7.619047619047619,0.008080808080808,2.75,0.0141414141414141,3.4285714285714284,0.0202020202020202,3.6,0.0323232323232323,6.3125,0.0121212121212121,8.5,0.004040404040404,1.5,0.006060606060606,4.0,0.0161616161616161,6.875,1.178082191780822,0.2222222222222222,4.509090909090909,0.1494949494949495,1.662162162162162,5.595238095238095,0.0707070707070707,8.857142857142858,1.3529411764705883,3.6,0.0242424242424242,2.833333333333333,0.008080808080808,1.5,0.0242424242424242,3.4166666666666665,0.006060606060606,2.0,495
universidade-federal-de-minas-gerais__s02__r00,wikipedia_pt,universidade-federal-de-minas-gerais,2,0.0,baseline,pt,0.5366795366795367,28.77777777777778,5.451685393258427,238,458,102,507,17,3.304854368932039,0.1069418386491557,1.0526315789473684,0.0337711069418386,7.277777777777778,0.0281425891181988,1.6,0.0412757973733583,6.0,0.1557223264540337,1.3373493975903614,0.1069418386491557,2.456140350877193,0.1200750469043152,0.0431519699812382,1.565217391304348,0.0656660412757973,1.0,0.0112570356472795,5.833333333333333,0.0450281425891182,2.708333333333333,0.0112570356472795,2.0,0.0131332082551594,2.4285714285714284,0.0131332082551594,1.7142857142857142,0.0375234521575985,4.45,0.0112570356472795,12.166666666666666,0.0037523452157598,2.0,0.0112570356472795,3.333333333333333,0.0150093808630394,5.875,1.0833333333333333,0.2213883677298311,3.1440677966101696,0.1876172607879924,1.35,7.875,0.075046904315197,6.675,1.0277777777777777,1.7,0.1332082551594746,3.408450704225352,0.0093808630393996,1.4,0.0150093808630394,1.0,0.0018761726078799,5.0,533
