text_id,author,title,sample_idx,rep,condition,lang,basic_ttr,basic_tokens_per_sentence_mean,basic_chars_per_token_mean,basic_n_unique_unigrams,basic_n_unique_bigrams,basic_n_repeated_bigrams,basic_n_unique_trigrams,basic_n_repeated_trigrams,synt_mean_dependency_distance,synt_DEPREL_det_prop,synt_DEPREL_det_md,synt_DEPREL_root_prop,synt_DEPREL_root_md,synt_DEPREL_cc_prop,synt_DEPREL_cc_md,synt_DEPREL_conj_prop,synt_DEPREL_conj_md,synt_DEPREL_case_prop,synt_DEPREL_case_md,synt_DEPREL_nmod_prop,synt_DEPREL_nmod_md,synt_DEPREL_punct_prop,synt_DEPREL_obj_prop,synt_DEPREL_obj_md,synt_DEPREL_amod_prop,synt_DEPREL_amod_md,synt_DEPREL_appos_prop,synt_DEPREL_appos_md,synt_DEPREL_nsubj_prop,synt_DEPREL_nsubj_md,synt_DEPREL_mark_prop,synt_DEPREL_mark_md,synt_DEPREL_acl_prop,synt_DEPREL_acl_md,synt_DEPREL_advmod_prop,synt_DEPREL_advmod_md,synt_DEPREL_obl_prop,synt_DEPREL_obl_md,synt_DEPREL_advcl_prop,synt_DEPREL_advcl_md,synt_DEPREL_cop_prop,synt_DEPREL_cop_md,synt_DEPREL_xcomp_prop,synt_DEPREL_xcomp_md,synt_DEPREL_acl:relcl_prop,synt_DEPREL_acl:relcl_md,synt_UPOS_DET_md,synt_UPOS_NOUN_prop,synt_UPOS_NOUN_md,synt_UPOS_ADP_prop,synt_UPOS_ADP_md,synt_UPOS_PUNCT_md,synt_UPOS_VERB_prop,synt_UPOS_VERB_md,synt_UPOS_ADJ_md,synt_UPOS_ADV_md,synt_UPOS_PROPN_prop,synt_UPOS_PROPN_md,synt_UPOS_AUX_prop,synt_UPOS_AUX_md,synt_UPOS_PRON_prop,synt_UPOS_PRON_md,synt_UPOS_SCONJ_prop,synt_UPOS_SCONJ_md,synt_UPOS_total_words
história-da-inteligência-artificial__s01__r02,wikipedia_pt,história-da-inteligência-artificial,1,2.0,prompt_steering,pt,0.4230019493177387,6.2560975609756095,5.4606205250596656,189,375,183,471,67,2.421768707482993,0.0860420650095602,1.0888888888888888,0.1567877629063097,3.268292682926829,0.0095602294455066,3.0,,,0.0688336520076481,1.3055555555555556,0.017208413001912,2.2222222222222223,0.1682600382409178,0.0841300191204589,1.0909090909090908,0.0401529636711281,1.0476190476190477,,,0.152963671128107,1.4625,0.0325047801147227,1.2352941176470589,0.0019120458891013,1.0,0.022944550669216,1.8333333333333333,0.0325047801147227,3.176470588235294,0.0095602294455066,3.0,0.0191204588910133,1.3,0.0497131931166348,1.5384615384615383,,,1.0888888888888888,0.1816443594646271,1.8421052631578947,0.0975143403441682,1.2156862745098038,3.090909090909091,0.1931166347992352,2.732673267326733,1.8823529411764703,1.8333333333333333,0.0210325047801147,1.7272727272727273,0.02868068833652,1.2,0.1128107074569789,1.3559322033898304,0.0038240917782026,3.0,523
história-da-inteligência-artificial__s01__r01,wikipedia_pt,história-da-inteligência-artificial,1,1.0,prompt_steering,pt,0.4802494802494803,6.413333333333333,5.616580310880829,202,377,149,455,43,2.485365853658537,0.1237113402061855,1.0166666666666666,0.1546391752577319,3.453333333333333,0.0041237113402061,2.0,0.0041237113402061,3.0,0.0701030927835051,1.1764705882352942,0.0371134020618556,1.9444444444444444,0.179381443298969,0.0639175257731958,1.3225806451612905,0.0350515463917525,1.0,,,0.1525773195876288,1.5810810810810811,0.0144329896907216,3.142857142857143,,,0.0206185567010309,1.8,0.0309278350515463,3.8666666666666663,,,0.0268041237113402,1.2307692307692308,0.0247422680412371,1.3333333333333333,0.002061855670103,2.0,1.0163934426229508,0.222680412371134,2.0462962962962963,0.0742268041237113,1.25,2.839080459770115,0.1649484536082474,3.125,2.071428571428572,1.7272727272727273,0.022680412371134,1.2727272727272727,0.0350515463917525,1.1764705882352942,0.0659793814432989,1.125,0.0123711340206185,3.5,485
inteligência-artificial__s02__r00,wikipedia_pt,inteligência-artificial,2,0.0,prompt_steering,pt,0.2,6.733333333333333,4.606976744186047,93,172,373,221,325,2.5694444444444446,0.0927021696252465,1.0,0.1479289940828402,2.026666666666667,,,,,0.04930966469428,1.12,0.0157790927021696,2.0,0.1479289940828402,0.1045364891518737,1.5660377358490567,0.0177514792899408,1.0,,,0.1873767258382643,1.2210526315789474,0.0769230769230769,2.3846153846153846,0.0019723865877712,2.0,0.0256410256410256,1.1538461538461535,0.009861932938856,2.2,0.0059171597633136,2.0,0.0177514792899408,2.0,0.0374753451676528,2.1578947368421053,0.0078895463510848,3.0,1.0,0.1676528599605522,2.0588235294117645,0.0946745562130177,1.125,4.733333333333333,0.2110453648915187,2.177570093457944,2.0,1.1538461538461535,0.0256410256410256,2.769230769230769,0.0177514792899408,2.0,0.1637080867850098,1.0602409638554218,0.0315581854043392,4.1875,507
inteligência-artificial__s00__r01,wikipedia_pt,inteligência-artificial,0,1.0,prompt_steering,pt,0.5751633986928104,6.75,6.021164021164021,237,395,83,442,23,2.4225,0.0747863247863247,1.0857142857142856,0.1452991452991453,3.073529411764706,0.0042735042735042,1.5,0.0106837606837606,3.6,0.0726495726495726,1.3529411764705883,0.0256410256410256,2.25,0.173076923076923,0.1196581196581196,1.125,0.0619658119658119,1.0689655172413792,,,0.1431623931623931,1.2537313432835822,0.0213675213675213,1.3,0.0085470085470085,1.0,0.0235042735042735,2.4545454545454546,0.0405982905982906,3.1052631578947367,0.0106837606837606,4.2,0.0042735042735042,1.0,0.032051282051282,1.6,0.0042735042735042,2.0,1.0857142857142856,0.2564102564102564,1.775,0.0961538461538461,1.3777777777777778,3.45679012345679,0.1901709401709401,2.853932584269663,1.1290322580645162,2.25,0.0256410256410256,1.1666666666666667,0.0042735042735042,1.0,0.0811965811965812,1.0526315789473684,0.0021367521367521,1.0,468
aprendizado-por-reforço__s01__r01,wikipedia_pt,aprendizado-por-reforço,1,1.0,prompt_steering,pt,0.2784810126582278,4.9375,5.005434782608695,122,231,285,320,194,2.155495978552279,0.0533049040511727,1.0,0.2046908315565032,2.1666666666666665,,,,,0.0639658848614072,1.0666666666666669,0.0085287846481876,1.5,0.208955223880597,0.1130063965884861,1.320754716981132,0.0277185501066098,1.0,,,0.2046908315565032,1.0416666666666667,,,0.0021321961620469,1.0,0.0106609808102345,1.0,0.0383795309168443,2.055555555555556,,,0.0021321961620469,1.0,0.0319829424307036,1.0666666666666669,,,1.0,0.1769722814498933,1.5903614457831323,0.0639658848614072,1.0666666666666669,2.704081632653061,0.2345415778251599,2.018181818181818,1.0666666666666669,1.0,0.0298507462686567,1.0,0.0021321961620469,1.0,0.1876332622601279,1.0454545454545454,,,469
universidade-federal-de-minas-gerais__s00__r02,wikipedia_pt,universidade-federal-de-minas-gerais,0,2.0,prompt_steering,pt,0.3844393592677345,5.905405405405405,5.486725663716814,145,289,205,366,106,2.422343324250681,0.1269841269841269,1.0178571428571428,0.1678004535147392,3.5945945945945947,0.0022675736961451,2.0,0.0136054421768707,5.166666666666667,0.0634920634920634,1.25,0.0136054421768707,1.8333333333333333,0.2018140589569161,0.0748299319727891,1.121212121212121,0.0249433106575963,1.0,,,0.1587301587301587,1.3857142857142857,0.0045351473922902,2.0,,,0.0045351473922902,1.0,0.0362811791383219,4.125,,,0.0068027210884353,1.3333333333333333,0.0113378684807256,1.8,,,1.0178571428571428,0.2267573696145124,1.76,0.0725623582766439,1.28125,2.258426966292135,0.1609977324263038,3.661971830985916,1.3076923076923077,1.0,0.0952380952380952,1.809523809523809,0.0068027210884353,1.3333333333333333,0.0476190476190476,1.0476190476190477,0.0045351473922902,2.0,441
inteligência-artificial__s02__r02,wikipedia_pt,inteligência-artificial,2,2.0,prompt_steering,pt,0.5020242914979757,5.811764705882353,5.418136020151134,220,377,150,458,56,2.4471153846153846,0.091816367265469,1.0434782608695652,0.1696606786427145,2.8588235294117648,0.0119760479041916,1.3333333333333333,0.0119760479041916,2.6666666666666665,0.0499001996007984,1.56,0.0219560878243512,2.363636363636364,0.1816367265469061,0.1257485029940119,1.253968253968254,0.0339321357285429,1.0,,,0.1736526946107784,1.3908045977011494,0.0119760479041916,2.0,0.0039920159680638,2.0,0.0159680638722554,1.5,0.0139720558882235,5.571428571428571,0.0019960079840319,10.0,0.0219560878243512,1.181818181818182,0.0139720558882235,2.142857142857143,0.0019960079840319,2.0,1.0434782608695652,0.2135728542914171,1.97196261682243,0.06187624750499,1.4838709677419355,3.010989010989011,0.1716566866267465,2.755813953488372,2.0,1.5,0.0199600798403193,1.8,0.0259481037924151,1.1538461538461535,0.1377245508982036,1.144927536231884,0.0039920159680638,4.0,501
universidade-federal-de-minas-gerais__s00__r01,wikipedia_pt,universidade-federal-de-minas-gerais,0,1.0,prompt_steering,pt,0.4551724137931034,8.20754716981132,4.977591036414566,172,317,172,383,88,2.7448979591836733,0.148314606741573,1.0454545454545454,0.1191011235955056,5.056603773584905,0.0089887640449438,1.25,0.0157303370786516,6.428571428571429,0.0898876404494382,1.35,0.0382022471910112,2.235294117647059,0.1505617977528089,0.0606741573033707,1.5925925925925926,0.0359550561797752,1.0,,,0.1078651685393258,2.520833333333333,0.0112359550561797,1.2,,,0.0179775280898876,1.5,0.049438202247191,3.863636363636364,,,0.0022471910112359,1.0,0.0112359550561797,2.2,,,1.0454545454545454,0.1438202247191011,2.53125,0.1213483146067415,1.2962962962962965,3.014925373134328,0.1325842696629213,4.779661016949152,1.1666666666666667,1.5,0.1573033707865168,2.8714285714285714,0.0089887640449438,1.0,0.0382022471910112,1.0,0.0022471910112359,2.0,445
brasil__s01__r00,wikipedia_pt,brasil,1,0.0,prompt_steering,pt,0.525879917184265,10.733333333333333,5.193717277486911,238,412,103,465,28,3.0285087719298245,0.1596806387225549,1.025,0.0898203592814371,5.733333333333333,0.0219560878243512,2.4545454545454546,0.029940119760479,5.4,0.0838323353293413,1.4285714285714286,0.0259481037924151,2.3846153846153846,0.1756487025948103,0.0439121756487025,1.9545454545454544,0.0538922155688622,1.037037037037037,0.0019960079840319,4.0,0.1057884231536926,2.641509433962264,0.0079840319361277,2.0,0.0059880239520958,2.0,0.0179640718562874,3.4444444444444446,0.0439121756487025,4.7727272727272725,0.0139720558882235,4.428571428571429,0.0159680638722554,1.5,0.0059880239520958,1.6666666666666667,0.0059880239520958,4.0,1.0609756097560976,0.2095808383233532,3.019047619047619,0.1037924151696606,1.4615384615384617,3.6818181818181817,0.1177644710578842,5.067796610169491,1.6875,3.4444444444444446,0.06187624750499,3.096774193548387,0.0219560878243512,1.3636363636363635,0.0219560878243512,1.0909090909090908,0.0039920159680638,3.0,501
universidade-federal-de-minas-gerais__s02__r00,wikipedia_pt,universidade-federal-de-minas-gerais,2,0.0,prompt_steering,pt,0.4803571428571428,7.272727272727272,5.194444444444445,234,456,142,541,31,2.629258517034068,0.1302083333333333,1.0,0.1336805555555555,3.493506493506493,0.0086805555555555,1.8,0.0642361111111111,3.6216216216216215,0.0763888888888889,1.4772727272727273,0.0277777777777777,2.3125,0.2222222222222222,0.0486111111111111,1.3214285714285714,0.0243055555555555,1.0,,,0.1388888888888889,1.3875,0.015625,2.111111111111111,0.0017361111111111,2.0,0.0138888888888888,1.5,0.0329861111111111,3.5789473684210527,0.0069444444444444,3.75,0.0086805555555555,1.4,0.0086805555555555,1.4,0.0017361111111111,6.0,1.0,0.2291666666666666,2.227272727272727,0.0868055555555555,1.44,2.9765625,0.1822916666666666,3.4761904761904763,1.55,1.4444444444444444,0.0052083333333333,2.333333333333333,0.0104166666666666,1.3333333333333333,0.0677083333333333,1.1282051282051282,0.0069444444444444,3.25,576
